name,Private,Top10perc,Top25perc,Room.Board,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,state,out_of_state_tuition
Wilkes University,1,15,36,5130,78,13.3,24,8543,67,Pennsylvania,36194.0
Willamette University,1,49,80,4620,91,13.3,37,10779,68,Oregon,50074.0
William Jewell College,1,32,67,2970,74,11.2,19,7885,59,Missouri,34400.0
William Woods University,1,17,39,4365,39,12.9,16,7438,52,Missouri,24110.0
Winthrop University,0,24,61,3392,71,12.8,26,6729,59,South Carolina,29846.0
Wisconsin Lutheran College,1,17,41,3700,48,8.5,26,8960,50,Wisconsin,29725.0
Wittenberg University,1,42,68,4404,82,12.8,29,10414,78,Ohio,39500.0
Wofford College,1,51,83,4150,91,15.3,42,7875,75,South Carolina,43845.0
Worcester Polytechnic Institute,1,49,86,5370,92,15.2,34,10774,82,Massachusetts,50530.0
Xavier University of Louisiana,1,34,61,4200,67,14.4,20,8323,49,Louisiana,24488.0
